City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Kencong,-8.2833,113.3667,73.17,92,34,2.75,ID,2022-07-12 19:51:11
150,Rujewa,-8.7,34.3833,65.43,59,100,11.52,TZ,2022-07-12 19:51:12
151,Filadelfia,39.9523,-75.1638,92.95,56,40,11.5,US,2022-07-12 19:49:16
152,Esperance,-33.8667,121.9,51.46,55,0,7.0,AU,2022-07-12 19:51:12
153,Wanaka,-44.7,169.15,36.1,96,100,1.01,NZ,2022-07-12 19:51:13
154,Margate,51.3813,1.3862,75.87,59,100,3.0,GB,2022-07-12 19:51:13
155,Blois,47.5833,1.3333,80.98,30,75,8.68,FR,2022-07-12 19:51:13
156,Hays,30.0502,-98.0336,106.3,33,8,1.99,US,2022-07-12 19:51:14
157,Berezovyy,51.6667,135.7,63.45,97,100,0.78,RU,2022-07-12 19:51:14
158,Grand-Lahou,5.1367,-5.0242,76.44,82,100,11.03,CI,2022-07-12 19:51:14
159,Paka,4.6374,103.4368,76.98,100,100,0.0,MY,2022-07-12 19:51:15
160,Wao,7.6833,124.6833,64.83,93,50,2.24,PH,2022-07-12 19:51:15
161,Kodiak,57.79,-152.4072,56.71,88,100,0.0,US,2022-07-12 19:48:03
162,Nantucket,41.2835,-70.0995,78.91,84,0,19.57,US,2022-07-12 19:51:16
163,Pell City,33.5862,-86.2861,91.72,62,75,5.75,US,2022-07-12 19:51:01
164,Kholodnyy,62.7167,147.95,69.33,78,98,9.78,RU,2022-07-12 19:51:16
165,Gobabis,-22.45,18.9667,56.91,35,0,11.81,NA,2022-07-12 19:51:16
166,Bagdarin,54.4333,113.6,54.3,95,98,2.42,RU,2022-07-12 19:51:17
167,Sitka,57.0531,-135.33,55.29,76,75,5.75,US,2022-07-12 19:51:17
168,Fairbanks,64.8378,-147.7164,73.22,79,40,3.44,US,2022-07-12 19:47:07
169,Berlevag,70.8578,29.0864,67.8,77,91,10.36,NO,2022-07-12 19:51:18
170,Cape Town,-33.9258,18.4232,60.39,85,0,6.91,ZA,2022-07-12 19:47:56
171,Wyszkow,52.5928,21.4584,69.15,50,100,24.56,PL,2022-07-12 19:51:18
172,Kudahuvadhoo,2.6708,72.8944,81.32,74,10,4.81,MV,2022-07-12 19:51:18
173,Harnosand,62.6323,17.9379,66.22,76,100,7.67,SE,2022-07-12 19:51:19
174,Teguldet,57.3064,88.1667,51.4,78,99,5.28,RU,2022-07-12 19:51:19
175,Tuktoyaktuk,69.4541,-133.0374,42.8,100,100,11.5,CA,2022-07-12 19:51:19
176,Inirida,3.8653,-67.9239,83.25,81,72,0.49,CO,2022-07-12 19:51:20
