City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
534,Erenhot,CN,85.35,43.6475,111.9767,
536,Thinadhoo,MV,83.62,0.5333,72.9333,
538,Shingu,JP,79.3,33.7333,135.9833,
542,San Patricio,US,84.06,28.017,-97.5169,
546,Mnogovershinnyy,RU,76.82,53.9353,139.9242,
547,Dharchula,IN,86.85,29.85,80.5333,
552,Misratah,LY,77.76,32.3754,15.0925,
553,Maumere,ID,81.07,-8.6199,122.2111,
558,Lichuan,CN,88.77,30.3,108.85,
560,Taonan,CN,77.74,45.3333,122.7833,
568,Imeni Poliny Osipenko,RU,80.6,52.4201,136.4853,
579,Suditi,RO,78.06,44.5833,27.6,
581,Laguna,US,79.68,38.421,-121.4238,
585,Timizart,DZ,78.28,36.8,4.2667,
590,Longkou,CN,80.64,37.6508,120.3286,
591,Saqqez,IR,86.76,36.2499,46.2735,
595,Labuan,MY,89.96,5.2767,115.2417,
596,Pucallpa,PE,78.84,-8.3791,-74.5539,
599,Buala,SB,83.26,-8.145,159.5921,
601,Kavaratti,IN,81.5,10.5669,72.642,
607,San Andres,CO,82.42,12.5847,-81.7006,
610,Amga,RU,87.62,60.8953,131.9608,
613,Coahuayana,MX,77.2,18.7333,-103.6833,
614,Awjilah,LY,78.75,29.1081,21.2869,
615,Basco,PH,84.79,20.4487,121.9702,
617,Seoul,KR,83.77,37.5683,126.9778,
618,Road Town,VG,82.49,18.4167,-64.6167,
620,Jalgaon,IN,85.96,21.0167,75.5667,
622,Chara,RU,79.14,56.9064,118.2631,
624,Ca Mau,VN,88.63,9.1769,105.15,
625,Malindi,KE,77.16,-3.2175,40.1191,
628,Muncar,ID,81.41,-8.4333,114.3333,
630,Kimbe,PG,82.0,-5.5502,150.1429,
632,Tual,ID,79.99,-5.6667,132.75,
633,Tambacounda,SN,77.36,13.7539,-13.7586,
641,Rosetta,EG,77.88,31.4044,30.4164,
642,Corn Island,NI,80.67,12.1694,-83.0418,
644,Virden,US,78.51,39.5009,-89.7679,
646,Tecoanapa,MX,75.04,16.5167,-98.75,
649,Poso,ID,86.18,-1.3959,120.7524,
654,South Venice,US,77.99,27.0531,-82.4243,
656,Makat,KZ,87.17,47.6469,53.3463,
658,Hailun,CN,78.87,47.45,126.9333,
660,Mangrol,IN,83.34,21.1167,70.1167,
664,San Policarpo,PH,85.55,12.1791,125.5072,
668,Ouallam,NE,78.3,14.3188,2.0866,
669,Poplar Bluff,US,78.58,36.757,-90.3929,
675,Porto Novo,BJ,76.82,6.4965,2.6036,
677,Bang Saphan,TH,81.3,11.2126,99.5117,
682,Labuhan,ID,86.07,-6.8844,112.2051,
687,Umm Kaddadah,SD,80.98,13.6017,26.6876,
692,Vicksburg,US,78.53,32.3526,-90.8779,
693,Ahuimanu,US,82.11,21.4447,-157.8378,Paradise Bay Resort
